outage_id,city,district,feeder,transformer,network_element_type,outage_type,source,started_at,ended_at,duration_min,affected_customer_count,energy_not_supplied_kwh,cause,is_planned,is_force_majeure,storm_flag,wind_speed,precipitation_mm,high_impact
1,Kayseri,Tomarza,KAY-TOM-FDR-003,KAY-TOM-TR-0339,Ayırıcı,unplanned,OMS,2025-07-15 18:43:51,2025-07-15 19:03:51,20,89,13.02,Bakım çalışması,0,0,0,9.79,3.07,0
2,Konya,Akşehir,KON-AKS-FDR-018,KON-AKS-TR-0233,Ayırıcı,unplanned,SCADA,2024-05-03 22:51:37,2024-05-03 23:01:37,10,650,137.2,Üçüncü şahıs müdahalesi,0,0,0,16.26,6.34,0
3,Kayseri,Talas,KAY-TAL-FDR-045,KAY-TAL-TR-0480,Kablo,planned,OSOS,2025-07-29 01:20:48,2025-07-29 05:26:48,246,657,4667.63,Ekipman arızası,1,0,0,6.62,3.87,1
4,Ankara,Polatlı,ANK-POL-FDR-025,ANK-POL-TR-0139,Ayırıcı,unplanned,OSOS,2024-09-22 20:30:40,2024-09-22 20:49:40,19,428,226.55,Bakım çalışması,0,0,0,17.44,3.59,0
5,Sivas,Yıldızeli,SIV-YIL-FDR-052,SIV-YIL-TR-0162,Fider,planned,OSOS,2025-05-18 18:08:11,2025-05-18 22:14:11,246,704,3238.39,Ağaç teması,1,0,0,23.77,3.8,1
6,Eskişehir,Alpu,ESK-ALP-FDR-014,ESK-ALP-TR-0336,Ayırıcı,unplanned,Manual,2024-04-12 19:41:24,2024-04-12 21:19:24,98,604,1619.2,Ekipman arızası,0,0,0,18.31,7.83,1
7,Eskişehir,İnönü,ESK-INÖ-FDR-016,ESK-INÖ-TR-0382,Kesici,planned,CRM,2025-12-13 19:14:13,2025-12-14 00:09:13,295,578,4274.84,Bilinmeyen,1,0,0,23.57,2.34,1
8,Sivas,Gürün,SIV-GÜR-FDR-024,SIV-GÜR-TR-0113,Dağıtım Merkezi,planned,Manual,2025-02-12 03:43:01,2025-02-12 13:52:01,609,3739,62865.2,Kablo arızası,1,0,0,19.63,1.51,1
9,Konya,Seydişehir,KON-SEY-FDR-010,KON-SEY-TR-0322,Trafo,unplanned,SCADA,2026-02-05 15:36:14,2026-02-05 18:33:14,177,145,637.19,Trafo arızası,0,0,0,15.94,7.67,0
10,Konya,Cihanbeyli,KON-CIH-FDR-030,KON-CIH-TR-0271,Dağıtım Merkezi,planned,Mobile,2024-04-08 16:29:04,2024-04-09 04:45:04,736,6979,146056.86,Kablo arızası,1,0,0,5.93,0.79,1
11,Kayseri,Yeşilhisar,KAY-YES-FDR-049,KAY-YES-TR-0137,Trafo,unplanned,OMS,2024-01-18 20:02:36,2024-01-18 20:21:36,19,350,142.14,Üçüncü şahıs müdahalesi,0,0,0,21.86,7.83,0
12,Kayseri,Kocasinan,KAY-KOC-FDR-001,KAY-KOC-TR-0489,Dağıtım Merkezi,planned,OSOS,2025-03-31 22:28:40,2025-04-01 02:28:40,240,3952,18697.02,Bilinmeyen,1,0,0,13.98,0.44,1
13,Kayseri,Yeşilhisar,KAY-YES-FDR-054,KAY-YES-TR-0328,Trafo,unplanned,OMS,2024-10-04 12:37:29,2024-10-04 14:18:29,101,263,445.86,Kablo arızası,0,0,0,10.54,2.14,0
14,Sivas,Hafik,SIV-HAF-FDR-035,SIV-HAF-TR-0489,Kesici,unplanned,CRM,2024-11-04 23:56:36,2024-11-05 03:20:36,204,1301,2477.26,Hava muhalefeti,0,0,0,9.39,0.69,1
15,Sivas,Merkez,SIV-MER-FDR-060,SIV-MER-TR-0186,Hücre,unplanned,SCADA,2025-05-18 13:24:49,2025-05-18 13:35:49,11,305,66.66,Üçüncü şahıs müdahalesi,0,0,0,2.67,3.35,0
16,Kayseri,Develi,KAY-DEV-FDR-006,KAY-DEV-TR-0375,Ayırıcı,planned,Manual,2024-03-30 23:36:24,2024-03-31 04:30:24,294,108,931.23,Ekipman arızası,1,0,0,21.7,1.24,1
17,Eskişehir,Tepebaşı,ESK-TEP-FDR-036,ESK-TEP-TR-0085,Kesici,unplanned,OSOS,2026-04-07 12:43:31,2026-04-07 14:10:31,87,2790,2245.79,Bilinmeyen,0,0,0,13.57,3.1,1
18,Kayseri,Yeşilhisar,KAY-YES-FDR-046,KAY-YES-TR-0160,Ayırıcı,unplanned,Manual,2025-10-19 07:43:32,2025-10-19 10:41:32,178,359,1358.0,Üçüncü şahıs müdahalesi,0,0,0,9.1,0.65,0
19,Eskişehir,Beylikova,ESK-BEY-FDR-015,ESK-BEY-TR-0033,Hücre,unplanned,SCADA,2025-11-11 13:33:17,2025-11-11 14:30:17,57,934,752.3,Trafo arızası,0,0,0,8.62,0.88,0
20,Kayseri,Melikgazi,KAY-MEL-FDR-046,KAY-MEL-TR-0324,Ayırıcı,planned,SCADA,2024-12-23 11:17:56,2024-12-23 19:13:56,476,102,643.34,Bilinmeyen,1,0,0,12.8,2.38,1
21,Ankara,Yenimahalle,ANK-YEN-FDR-033,ANK-YEN-TR-0122,Fider,unplanned,CRM,2024-04-14 16:51:58,2024-04-14 17:23:58,32,994,353.56,Ekipman arızası,0,0,0,18.93,6.49,0
22,Kayseri,Pınarbaşı,KAY-PIN-FDR-037,KAY-PIN-TR-0243,Kesici,unplanned,OMS,2024-11-28 19:19:37,2024-11-28 22:30:37,191,3518,12773.74,Ekipman arızası,0,0,0,8.5,0.92,1
23,Konya,Ilgın,KON-ILG-FDR-043,KON-ILG-TR-0221,Ayırıcı,unplanned,SCADA,2025-09-24 08:17:43,2025-09-24 11:12:43,175,112,312.85,Hava muhalefeti,0,0,0,12.37,1.13,0
24,Kayseri,İncesu,KAY-INC-FDR-044,KAY-INC-TR-0335,Hücre,unplanned,OMS,2025-09-30 15:00:13,2025-09-30 15:23:13,23,271,80.42,Aşırı yüklenme,0,0,0,21.06,6.83,0
25,Ankara,Çankaya,ANK-ÇAN-FDR-013,ANK-ÇAN-TR-0098,Kablo,planned,SCADA,2025-09-17 10:48:33,2025-09-17 12:44:33,116,723,1182.92,Ağaç teması,1,0,0,15.95,2.4,0
26,Sivas,Divriği,SIV-DIV-FDR-030,SIV-DIV-TR-0128,Dağıtım Merkezi,planned,OSOS,2024-08-05 18:22:29,2024-08-06 00:57:29,395,4296,28406.98,Hava muhalefeti,1,0,0,14.16,0.89,1
27,Ankara,Gölbaşı,ANK-GÖL-FDR-006,ANK-GÖL-TR-0475,Fider,planned,OMS,2024-06-01 02:18:07,2024-06-01 06:47:07,269,447,899.97,Bakım çalışması,1,0,0,19.02,2.41,1
28,Konya,Karatay,KON-KAR-FDR-056,KON-KAR-TR-0206,Hücre,unplanned,Mobile,2025-09-23 08:12:51,2025-09-23 08:35:51,23,622,326.78,Bakım çalışması,0,0,0,19.63,0.85,0
29,Ankara,Mamak,ANK-MAM-FDR-060,ANK-MAM-TR-0402,Fider,unplanned,Mobile,2025-08-11 17:08:31,2025-08-11 18:32:31,84,4114,8685.82,Ekipman arızası,0,0,0,19.95,0.63,1
30,Eskişehir,Alpu,ESK-ALP-FDR-019,ESK-ALP-TR-0112,Hücre,unplanned,OSOS,2025-10-19 02:51:43,2025-10-19 02:56:43,5,742,85.17,Üçüncü şahıs müdahalesi,0,0,0,13.44,1.61,0
31,Ankara,Polatlı,ANK-POL-FDR-004,ANK-POL-TR-0026,Fider,unplanned,OMS,2026-04-22 06:30:08,2026-04-22 06:35:08,5,2803,194.33,Ekipman arızası,0,0,0,21.61,0.77,1
32,Sivas,Divriği,SIV-DIV-FDR-006,SIV-DIV-TR-0436,Kesici,unplanned,SCADA,2026-02-20 03:37:15,2026-02-20 04:02:15,25,3023,1078.38,Bakım çalışması,0,0,0,27.87,3.67,1
33,Konya,Meram,KON-MER-FDR-057,KON-MER-TR-0292,Ayırıcı,unplanned,Mobile,2024-04-15 13:45:52,2024-04-15 18:22:52,277,121,609.06,Kablo arızası,0,0,0,21.03,8.03,1
34,Konya,Kulu,KON-KUL-FDR-038,KON-KUL-TR-0290,Trafo,planned,Mobile,2024-03-02 17:40:35,2024-03-02 20:31:35,171,910,1194.61,Ekipman arızası,1,0,0,15.42,1.1,0
35,Sivas,Kangal,SIV-KAN-FDR-016,SIV-KAN-TR-0136,Ayırıcı,planned,OMS,2025-02-09 02:02:59,2025-02-09 05:12:59,190,321,887.53,Üçüncü şahıs müdahalesi,1,0,0,4.09,1.26,1
36,Eskişehir,Sivrihisar,ESK-SIV-FDR-060,ESK-SIV-TR-0038,Hücre,unplanned,CRM,2025-04-11 00:42:06,2025-04-11 01:19:06,37,2566,2283.19,Aşırı yüklenme,0,0,0,15.68,0.62,1
37,Ankara,Gölbaşı,ANK-GÖL-FDR-033,ANK-GÖL-TR-0136,Trafo,unplanned,Manual,2024-06-04 07:34:16,2024-06-04 07:42:16,8,267,50.43,Aşırı yüklenme,0,0,0,6.47,0.2,0
38,Konya,Beyşehir,KON-BEY-FDR-011,KON-BEY-TR-0225,Ayırıcı,planned,CRM,2024-04-16 20:43:33,2024-04-17 03:19:33,396,279,2275.84,Ekipman arızası,1,0,0,21.42,0.57,1
39,Sivas,Zara,SIV-ZAR-FDR-060,SIV-ZAR-TR-0340,Fider,unplanned,OMS,2026-04-01 16:20:18,2026-04-01 17:05:18,45,2278,2424.8,Bilinmeyen,0,0,0,14.45,1.93,1
40,Ankara,Mamak,ANK-MAM-FDR-036,ANK-MAM-TR-0080,Trafo,unplanned,SCADA,2025-02-14 20:00:15,2025-02-14 20:28:15,28,966,273.76,Ağaç teması,0,0,0,19.89,0.55,0
41,Kayseri,Yahyalı,KAY-YAH-FDR-033,KAY-YAH-TR-0251,Kablo,planned,OSOS,2024-11-23 04:50:33,2024-11-23 08:48:33,238,563,3997.28,Ekipman arızası,1,0,0,18.02,1.05,1
42,Kayseri,Melikgazi,KAY-MEL-FDR-001,KAY-MEL-TR-0171,Dağıtım Merkezi,planned,CRM,2024-05-23 09:08:10,2024-05-23 19:09:10,601,1244,8334.34,Kablo arızası,1,0,0,7.42,1.63,1
43,Konya,Akşehir,KON-AKS-FDR-028,KON-AKS-TR-0288,Hücre,unplanned,Manual,2024-09-08 00:12:45,2024-09-08 00:57:45,45,1001,1290.24,Kablo arızası,0,0,0,9.83,11.21,1
44,Ankara,Keçiören,ANK-KEÇ-FDR-054,ANK-KEÇ-TR-0190,Kesici,planned,Manual,2024-04-26 21:17:39,2024-04-27 01:50:39,273,225,1284.67,Bakım çalışması,1,0,0,13.57,2.05,1
45,Sivas,Gürün,SIV-GÜR-FDR-020,SIV-GÜR-TR-0187,Dağıtım Merkezi,planned,OSOS,2024-08-18 01:20:11,2024-08-18 05:49:11,269,1150,7124.66,Bilinmeyen,1,0,0,16.93,1.1,1
46,Ankara,Sincan,ANK-SIN-FDR-023,ANK-SIN-TR-0400,Ayırıcı,planned,OMS,2024-11-22 08:13:15,2024-11-22 12:43:15,270,147,354.36,Trafo arızası,1,0,0,23.76,11.29,1
47,Sivas,Gemerek,SIV-GEM-FDR-057,SIV-GEM-TR-0212,Ayırıcı,unplanned,OSOS,2024-08-28 02:09:57,2024-08-28 04:27:57,138,213,472.98,Ağaç teması,0,0,0,16.16,0.87,0
48,Ankara,Mamak,ANK-MAM-FDR-048,ANK-MAM-TR-0416,Dağıtım Merkezi,planned,OMS,2025-05-31 00:46:18,2025-05-31 06:28:18,342,10124,39054.39,Trafo arızası,1,0,0,22.63,0.11,1
49,Konya,Akşehir,KON-AKS-FDR-055,KON-AKS-TR-0241,Trafo,unplanned,Mobile,2024-09-04 07:19:32,2024-09-04 08:10:32,51,66,41.8,Aşırı yüklenme,0,0,0,11.57,0.96,0
50,Konya,Ereğli,KON-ERE-FDR-015,KON-ERE-TR-0013,Kablo,unplanned,CRM,2025-12-16 01:20:54,2025-12-16 05:55:54,275,908,7138.9,Ağaç teması,0,0,0,4.66,2.4,1
51,Konya,Cihanbeyli,KON-CIH-FDR-023,KON-CIH-TR-0329,Direk,unplanned,SCADA,2025-05-24 22:29:33,2025-05-24 23:07:33,38,80,67.0,Ekipman arızası,0,0,0,2.91,5.59,0
52,Sivas,Gemerek,SIV-GEM-FDR-057,SIV-GEM-TR-0497,Kablo,unplanned,SCADA,2026-04-12 23:34:17,2026-04-13 00:23:17,49,428,271.11,Bakım çalışması,0,0,0,13.31,0.39,0
53,Kayseri,Talas,KAY-TAL-FDR-023,KAY-TAL-TR-0374,Fider,unplanned,SCADA,2025-02-16 09:18:12,2025-02-16 19:46:12,628,4768,35737.42,Ekipman arızası,0,0,0,28.31,6.5,1
54,Kayseri,İncesu,KAY-INC-FDR-013,KAY-INC-TR-0131,Trafo,unplanned,Mobile,2026-03-05 11:14:01,2026-03-05 13:01:01,107,469,628.94,Bakım çalışması,0,0,0,5.48,3.35,0
55,Ankara,Altındağ,ANK-ALT-FDR-005,ANK-ALT-TR-0486,Ayırıcı,unplanned,CRM,2024-01-03 15:03:19,2024-01-03 17:18:19,135,640,1329.82,Bakım çalışması,0,0,0,14.79,1.01,0
56,Kayseri,Tomarza,KAY-TOM-FDR-033,KAY-TOM-TR-0159,Trafo,unplanned,OMS,2025-05-02 15:37:24,2025-05-02 18:07:24,150,303,1050.04,Ağaç teması,0,0,0,9.33,0.8,0
57,Eskişehir,Beylikova,ESK-BEY-FDR-013,ESK-BEY-TR-0216,Direk,planned,Manual,2025-09-17 02:34:25,2025-09-17 04:49:25,135,40,93.65,Bilinmeyen,1,0,0,13.22,0.12,0
58,Eskişehir,Sivrihisar,ESK-SIV-FDR-001,ESK-SIV-TR-0156,Dağıtım Merkezi,unplanned,Manual,2025-04-12 12:13:28,2025-04-12 15:06:28,173,10917,28651.74,Trafo arızası,0,0,0,21.66,8.82,1
59,Kayseri,Develi,KAY-DEV-FDR-029,KAY-DEV-TR-0346,Kablo,planned,Mobile,2025-10-29 19:23:30,2025-10-30 00:11:30,288,1134,8374.7,Ekipman arızası,1,0,0,6.05,5.99,1
60,Konya,Seydişehir,KON-SEY-FDR-019,KON-SEY-TR-0264,Kesici,planned,OMS,2026-01-05 01:39:34,2026-01-05 04:11:34,152,531,601.77,Ekipman arızası,1,0,0,6.12,9.26,0
61,Sivas,Kangal,SIV-KAN-FDR-015,SIV-KAN-TR-0413,Ayırıcı,planned,OMS,2024-05-25 01:43:37,2024-05-25 05:34:37,231,436,1274.41,Aşırı yüklenme,1,0,0,9.51,0.62,1
62,Konya,Karatay,KON-KAR-FDR-040,KON-KAR-TR-0436,Fider,unplanned,OSOS,2024-02-07 22:38:40,2024-02-07 22:43:40,5,2815,153.3,Kablo arızası,0,0,0,13.69,1.09,1
