city,district,feeder,outage_count,high_impact_count,avg_duration_min,max_duration_min,total_affected_customer,total_ens_kwh,force_majeure_count,risk_score
Kayseri,Yeşilhisar,KAY-YES-FDR-026,13,11,206.08,444,33975,178088.96,0,182.93
Eskişehir,Seyitgazi,ESK-SEY-FDR-056,9,6,204.11,777,25976,214506.09,0,176.58
Sivas,Gemerek,SIV-GEM-FDR-001,8,6,358.88,830,17369,233445.84,0,173.23
Eskişehir,Alpu,ESK-ALP-FDR-036,7,7,358.57,640,24055,201236.19,0,171.74
Ankara,Yenimahalle,ANK-YEN-FDR-060,8,8,289.0,721,19255,219048.73,0,170.7
Konya,Karatay,KON-KAR-FDR-042,10,8,145.5,456,41186,137959.48,1,170.22
Ankara,Mamak,ANK-MAM-FDR-028,8,6,162.5,453,36346,156984.82,0,167.06
Konya,Ilgın,KON-ILG-FDR-052,8,6,227.25,479,29518,179171.64,0,166.44
Ankara,Gölbaşı,ANK-GÖL-FDR-059,8,7,262.25,616,31004,167439.46,0,166.1
Kayseri,Bünyan,KAY-BÜN-FDR-059,12,7,193.08,409,30139,169443.99,0,164.29
Konya,Cihanbeyli,KON-CIH-FDR-030,13,9,184.46,736,23515,187689.55,0,163.16
Kayseri,Melikgazi,KAY-MEL-FDR-053,6,5,179.33,378,31325,167746.85,0,160.9
Kayseri,İncesu,KAY-INC-FDR-048,7,7,249.57,647,25909,178330.42,0,160.72
Konya,Meram,KON-MER-FDR-031,12,8,145.83,468,41283,114562.49,0,159.22
Konya,Seydişehir,KON-SEY-FDR-042,8,7,339.0,580,23152,178675.53,0,158.31
Konya,Ereğli,KON-ERE-FDR-018,5,4,223.6,821,23402,179065.42,0,150.29
Kayseri,Tomarza,KAY-TOM-FDR-046,2,2,433.5,697,13234,208507.13,0,147.23
Sivas,Kangal,SIV-KAN-FDR-034,9,5,253.11,662,16025,191756.52,0,145.27
Eskişehir,Sivrihisar,ESK-SIV-FDR-001,9,8,202.22,661,32419,118995.15,0,144.65
Eskişehir,İnönü,ESK-INÖ-FDR-013,10,8,289.1,494,23005,149980.58,0,144.17
Sivas,Hafik,SIV-HAF-FDR-039,10,10,239.5,403,25673,127805.72,0,139.93
Konya,Cihanbeyli,KON-CIH-FDR-060,8,8,252.88,646,29554,115250.74,0,138.32
Kayseri,Yahyalı,KAY-YAH-FDR-029,11,8,175.36,528,30049,116088.36,0,138.15
Konya,Ilgın,KON-ILG-FDR-044,11,7,279.73,806,23969,133021.33,0,136.09
Sivas,Yıldızeli,SIV-YIL-FDR-041,7,5,299.57,517,17037,167047.13,0,135.83
Ankara,Etimesgut,ANK-ETI-FDR-012,6,6,286.83,487,23508,137842.9,0,135.04
Eskişehir,Mihalıççık,ESK-MIH-FDR-032,4,3,254.75,312,19881,160256.63,0,133.03
Konya,Cihanbeyli,KON-CIH-FDR-025,4,3,239.25,600,15603,172698.16,0,130.23
Kayseri,İncesu,KAY-INC-FDR-056,7,6,212.71,507,21226,140886.06,0,130.03
Ankara,Gölbaşı,ANK-GÖL-FDR-019,8,5,242.88,667,17735,155166.72,0,129.84
Kayseri,İncesu,KAY-INC-FDR-039,7,7,246.14,357,30089,99518.87,0,129.57
Konya,Ilgın,KON-ILG-FDR-014,8,5,171.12,422,24795,130029.5,0,129.24
Kayseri,Yahyalı,KAY-YAH-FDR-004,5,4,203.8,776,16985,163520.75,0,129.09
