date,city,district,temperature,wind_speed,precipitation_mm,storm_flag
2024-01-01,Ankara,Çankaya,2.61,15.61,1.51,0
2024-01-01,Ankara,Keçiören,8.32,18.15,1.15,0
2024-01-01,Ankara,Mamak,12.35,13.85,1.04,0
2024-01-01,Ankara,Yenimahalle,0.51,14.59,0.7,0
2024-01-01,Ankara,Etimesgut,8.41,20.63,6.51,0
2024-01-01,Ankara,Sincan,11.6,19.4,9.06,0
2024-01-01,Ankara,Altındağ,-2.91,15.38,1.03,0
2024-01-01,Ankara,Gölbaşı,10.92,15.66,7.89,0
2024-01-01,Ankara,Pursaklar,2.04,16.12,2.16,0
2024-01-01,Ankara,Polatlı,-0.77,15.69,1.65,0
2024-01-01,Konya,Selçuklu,0.87,21.23,2.93,0
2024-01-01,Konya,Meram,-4.6,29.23,14.27,0
2024-01-01,Konya,Karatay,-11.43,17.79,1.34,0
2024-01-01,Konya,Ereğli,2.72,14.54,2.79,0
2024-01-01,Konya,Akşehir,0.65,20.41,0.63,0
2024-01-01,Konya,Beyşehir,4.38,17.94,1.11,0
2024-01-01,Konya,Cihanbeyli,10.0,24.02,1.09,0
2024-01-01,Konya,Ilgın,-3.61,29.07,4.0,0
2024-01-01,Konya,Seydişehir,6.11,35.52,0.38,1
2024-01-01,Konya,Kulu,-1.45,25.39,0.83,0
2024-01-01,Kayseri,Melikgazi,2.7,13.97,4.53,0
2024-01-01,Kayseri,Kocasinan,2.06,15.08,1.03,0
2024-01-01,Kayseri,Talas,-5.44,21.79,4.7,0
2024-01-01,Kayseri,Develi,6.34,16.71,0.59,0
2024-01-01,Kayseri,Yahyalı,-3.48,15.42,10.34,0
2024-01-01,Kayseri,Bünyan,-0.5,22.45,4.32,0
2024-01-01,Kayseri,İncesu,3.59,28.46,3.02,0
2024-01-01,Kayseri,Pınarbaşı,-0.27,16.35,9.1,0
2024-01-01,Kayseri,Yeşilhisar,3.82,24.25,1.66,0
2024-01-01,Kayseri,Tomarza,11.1,11.06,9.1,0
2024-01-01,Eskişehir,Odunpazarı,3.75,20.77,4.11,0
2024-01-01,Eskişehir,Tepebaşı,3.58,24.78,0.04,0
2024-01-01,Eskişehir,Sivrihisar,4.05,12.29,0.02,0
2024-01-01,Eskişehir,Çifteler,3.22,8.27,4.71,0
2024-01-01,Eskişehir,Alpu,-6.34,23.25,4.98,0
2024-01-01,Eskişehir,Beylikova,-3.26,8.96,5.49,0
2024-01-01,Eskişehir,İnönü,8.74,21.3,4.29,0
2024-01-01,Eskişehir,Mihalıççık,-4.07,19.17,1.83,0
2024-01-01,Eskişehir,Seyitgazi,-4.23,11.47,14.45,0
2024-01-01,Eskişehir,Mahmudiye,8.15,16.08,3.99,0
2024-01-01,Sivas,Merkez,2.09,29.63,3.44,0
2024-01-01,Sivas,Şarkışla,-7.84,17.72,5.13,0
2024-01-01,Sivas,Suşehri,-5.5,21.86,11.28,0
2024-01-01,Sivas,Yıldızeli,1.13,23.92,13.6,0
2024-01-01,Sivas,Zara,-3.93,5.88,7.62,0
2024-01-01,Sivas,Kangal,-4.48,13.9,3.25,0
2024-01-01,Sivas,Gemerek,3.21,21.08,3.38,0
2024-01-01,Sivas,Divriği,3.62,11.53,18.44,1
2024-01-01,Sivas,Gürün,2.41,8.86,8.39,0
2024-01-01,Sivas,Hafik,8.11,26.53,4.85,0
2024-01-02,Ankara,Çankaya,-7.64,10.5,6.63,0
2024-01-02,Ankara,Keçiören,4.13,20.06,9.78,0
2024-01-02,Ankara,Mamak,5.61,48.82,6.4,1
2024-01-02,Ankara,Yenimahalle,11.32,25.91,6.35,0
2024-01-02,Ankara,Etimesgut,-0.21,24.07,1.88,0
2024-01-02,Ankara,Sincan,3.16,11.15,0.15,0
2024-01-02,Ankara,Altındağ,18.2,3.06,1.35,0
2024-01-02,Ankara,Gölbaşı,-0.9,18.64,0.15,0
2024-01-02,Ankara,Pursaklar,-1.3,26.71,0.54,0
2024-01-02,Ankara,Polatlı,12.92,19.03,0.97,0
2024-01-02,Konya,Selçuklu,-3.11,19.73,0.21,0
